periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-29T00:00:00Z,4,702
201401,"RUTE 3","TMII - GANDARIA",2014-01-29T00:00:00Z,5,1127
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-29T00:00:00Z,5,934
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-29T00:00:00Z,4,811
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-29T00:00:00Z,4,590
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-29T00:00:00Z,6,1145
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-29T00:00:00Z,4,685
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-29T00:00:00Z,4,435
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-29T00:00:00Z,2,289
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-29T00:00:00Z,4,750
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-29T00:00:00Z,4,497
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-29T00:00:00Z,4,432
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-29T00:00:00Z,4,451
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-29T00:00:00Z,2,98
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-29T00:00:00Z,3,204
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-30T00:00:00Z,4,854
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-30T00:00:00Z,4,722
201401,"RUTE 3","TMII - GANDARIA",2014-01-30T00:00:00Z,5,1114
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-30T00:00:00Z,5,990
